User,month,year,parameter,value,NormValue,PlotValue,alpha,UserNorm,UserNormValue,MoYear,dx,dy
Yuma Mesa I.D.D.,2,2012,Consumptive Use,4147,0.233134697548909,0.233134697548909,0.5,0.233134697548909,0.233134697548909,2012-02-01,1905787.703,25850117.71
Bard Unit,3,2012,Diversion,5746,0.874448333586973,0.874448333586973,0.5,0.874448333586973,0.874448333586973,2012-03-01,699103.7691,25572579.84
Bullhead City,3,2012,Diversion,732,0.634865568083261,0.634865568083261,0.5,0.634865568083261,0.634865568083261,2012-03-01,699103.7691,26543962.39
Central Arizona Project,3,2012,Diversion,187497,1,1,0.5,1,1,2012-03-01,1424007.529,26127655.58
Chemehuevi Indian Reservation,3,2012,Diversion,13,0.325,0.325,0.5,0.325,0.325,2012-03-01,1424007.529,26543962.39
Cibola Valley I.D.D.,3,2012,Diversion,NA,NA,0.368758396775638,0.5,NA,0.368758396775638,2012-03-01,699103.7691,26335808.99
City of Yuma,3,2012,Diversion,2198,0.886290322580645,0.886290322580645,0.5,0.886290322580645,0.886290322580645,2012-03-01,1905787.703,26405193.45
Coachella Valley Water District,3,2012,Diversion,26380,0.623994701485476,0.623994701485476,0.5,0.623994701485476,0.623994701485476,2012-03-01,699103.7691,25711348.78
Cocopah Indian Reservation,3,2012,Diversion,645,0.403125,0.403125,0.5,0.403125,0.403125,2012-03-01,699103.7691,25850117.71
Colorado River Indian Reservation,3,2012,Diversion,52906,0.660318015027084,0.660318015027084,0.5,0.660318015027084,0.660318015027084,2012-03-01,1172486.567,25877855.74
Fort Mojave Indian Reservation,3,2012,Diversion,8892,0.594941790445604,0.594941790445604,0.5,0.594941790445604,0.594941790445604,2012-03-01,1424007.529,26266424.52
Imperial Irrigation District,3,2012,Diversion,282788,0.845190310384506,0.845190310384506,0.5,0.845190310384506,0.845190310384506,2012-03-01,699103.7691,25988886.65
Lake Havasu City,3,2012,Diversion,969,0.723134328358209,0.723134328358209,0.5,0.723134328358209,0.723134328358209,2012-03-01,1424007.529,26682731.33
Met. Water District of So. Cal.,3,2012,Diversion,NA,NA,0.712419748900305,0.5,NA,0.712419748900305,2012-03-01,1424007.529,26405193.45
Mohave Valley I.D.D.,3,2012,Diversion,1790,0.359582161510647,0.359582161510647,0.5,0.359582161510647,0.359582161510647,2012-03-01,1172486.567,26495712.85
North Gila Valley I.D.D.,3,2012,Diversion,4170,0.69872654155496,0.69872654155496,0.5,0.69872654155496,0.69872654155496,2012-03-01,1905787.703,26266424.52
Palo Verde Irrigation District,3,2012,Diversion,75670,0.644,0.644,0.5,0.644,0.644,2012-03-01,699103.7691,26197040.05
Robert B. Griffith Water Project,3,2012,Diversion,31051,0.656913768299907,0.656913768299907,0.5,0.656913768299907,0.656913768299907,2012-03-01,699103.7691,26919087.4
Unit 'B' I.D.D.,3,2012,Diversion,1956,0.513251115192863,0.513251115192863,0.5,0.513251115192863,0.513251115192863,2012-03-01,1905787.703,26127655.58
Wellton-Mohawk I.D.D.,3,2012,Diversion,NA,NA,0.687039318630008,0.5,NA,0.687039318630008,2012-03-01,1905787.703,25988886.65
Yuma County WUA,3,2012,Diversion,NA,NA,0.605324094250269,0.5,NA,0.605324094250269,2012-03-01,1905787.703,25572579.84
Yuma Irrigation District,3,2012,Diversion,7049,0.728503513848698,0.728503513848698,0.5,0.728503513848698,0.728503513848698,2012-03-01,1905787.703,25711348.78
Yuma Mesa I.D.D.,3,2012,Diversion,14744,0.549841506619429,0.549841506619429,0.5,0.549841506619429,0.549841506619429,2012-03-01,1905787.703,25850117.71
Bard Unit,3,2012,Consumptive Use,NA,NA,0.1,0.5,NA,0.5,2012-03-01,699103.7691,25572579.84
Bullhead City,3,2012,Consumptive Use,490,0.633893919793014,0.633893919793014,0.5,0.633893919793014,0.633893919793014,2012-03-01,699103.7691,26543962.39
Central Arizona Project,3,2012,Consumptive Use,187497,1,1,0.5,1,1,2012-03-01,1424007.529,26127655.58
Chemehuevi Indian Reservation,3,2012,Consumptive Use,7,0.318181818181818,0.318181818181818,0.5,0.318181818181818,0.318181818181818,2012-03-01,1424007.529,26543962.39
Cibola Valley I.D.D.,3,2012,Consumptive Use,NA,NA,0.36864694218326,0.5,NA,0.36864694218326,2012-03-01,699103.7691,26335808.99
City of Yuma,3,2012,Consumptive Use,1339,0.837922403003755,0.837922403003755,0.5,0.837922403003755,0.837922403003755,2012-03-01,1905787.703,26405193.45
Coachella Valley Water District,3,2012,Consumptive Use,25742,0.648249811130698,0.648249811130698,0.5,0.648249811130698,0.648249811130698,2012-03-01,699103.7691,25711348.78
